ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 10:22:17
Stop time: 10:23:50
Overruns: 0  Errorframes: 0                                          
Baudrate: -"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:00:23.093";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:00:23.095";"1B000014";"Ext";"";"14 00 04 01 01 00 00 00"
"00:00:23.095";"17330C10";"Ext";"";"33 12 01"
"00:00:23.096";"3DC";"Std";"";"E0 00 14 0B 00 05 00 00"
"00:00:23.097";"101";"Std";"";"9B 00 7F FB 81 23 00 00"
"00:00:23.101";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:23.101";"3E5";"Std";"";"3A 10 00 00 00 00 00 00"
"00:00:23.104";"30B";"Std";"";"10 2C 81 00 08 00 00 10"
"00:00:23.105";"5F2";"Std";"";"00 00"
"00:00:23.106";"663";"Std";"";"60 28 20 0E 15 A4 1E 00"
"00:00:23.107";"FD";"Std";"";"0B D0 1F 80 00 00 00 00"
"00:00:23.109";"386";"Std";"";"00 00 00 00 00 00 20 00"
"00:00:23.110";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:23.111";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:00:23.111";"107";"Std";"";"00 00 FE F3 80 12 30 41"
"00:00:23.115";"32A";"Std";"";"D0 08 00 00 48 02 00 00"
"00:00:23.115";"17330910";"Ext";"";"C0 00 00 00 00"
"00:00:23.116";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:00:23.117";"101";"Std";"";"30 01 7F FB 81 25 00 00"
"00:00:23.118";"31B";"Std";"";"31 06 00 00 00 00 00 00"
"00:00:23.119";"31E";"Std";"";"DA E9 3F 00 00 00 00 00"
"00:00:23.123";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:00:23.123";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:00:23.124";"394";"Std";"";"7B 10 00 10 00 00 00 00"
"00:00:23.126";"3DA";"Std";"";"22 08 00 00 00 C8 01 00"
"00:00:23.127";"FD";"Std";"";"01 D1 1F 80 00 00 00 00"
"00:00:23.129";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:23.130";"3BE";"Std";"";"00 10 E7 01 C8 80 0C 80"
"00:00:23.132";"107";"Std";"";"00 00 FE F3 80 12 34 41"
"00:00:23.134";"1B00000E";"Ext";"";"0E 00 04 01 09 08 0E 00"
"00:00:23.134";"3C0";"Std";"";"4B 05 03 00"
"00:00:23.134";"3D5";"Std";"";"7F 0E 00 04 00 00 00 00"
"00:00:23.134";"3D6";"Std";"";"0E 00 00 00 00 00 00 00"
"00:00:23.135";"17330810";"Ext";"";"C0 00 00 05 00 00 00 00"
